,conceded_away,conceded_home,games,avg_concede,away_avg,home_avg
New England Patriots,242.0,129.0,19.0,19.526315789473685,25.473684210526315,13.578947368421053
Dallas Cowboys,190.0,142.0,16.0,20.75,23.75,17.75
Washington Redskins,171.0,217.0,16.0,24.25,21.375,27.125
Cleveland Browns,187.0,223.0,16.0,25.625,23.375,27.875
Detroit Lions,175.0,201.0,16.0,23.5,21.875,25.125
Green Bay Packers,162.0,222.0,16.0,24.0,20.25,27.75
San Francisco 49ers,225.0,158.0,16.0,23.9375,28.125,19.75
Los Angeles Rams,182.0,173.0,17.0,20.88235294117647,21.41176470588235,20.352941176470587
Tennessee Titans,165.0,247.0,18.0,22.88888888888889,18.333333333333332,27.444444444444443
Buffalo Bills,162.0,207.0,17.0,21.705882352941178,19.058823529411764,24.352941176470587
Houston Texans,203.0,233.0,16.0,27.25,25.375,29.125
Cincinnati Bengals,161.0,188.0,16.0,21.8125,20.125,23.5
Chicago Bears,131.0,189.0,16.0,20.0,16.375,23.625
Denver Broncos,159.0,223.0,16.0,23.875,19.875,27.875
Minnesota Vikings,124.0,190.0,18.0,17.444444444444443,13.777777777777779,21.11111111111111
Kansas City Chiefs,157.0,204.0,17.0,21.235294117647058,18.470588235294116,24.0
Carolina Panthers,170.0,188.0,17.0,21.058823529411764,20.0,22.11764705882353
Seattle Seahawks,193.0,138.0,16.0,20.6875,24.125,17.25
Jacksonville Jaguars,139.0,198.0,19.0,17.736842105263158,14.631578947368421,20.842105263157894
Atlanta Falcons,134.0,209.0,18.0,19.055555555555557,14.88888888888889,23.22222222222222
Pittsburgh Steelers,232.0,121.0,17.0,20.764705882352942,27.294117647058822,14.235294117647058
Indianapolis Colts,172.0,232.0,16.0,25.25,21.5,29.0
Baltimore Ravens,146.0,157.0,16.0,18.9375,18.25,19.625
New Orleans Saints,206.0,175.0,18.0,21.166666666666668,22.88888888888889,19.444444444444443
Oakland Raiders,181.0,192.0,16.0,23.3125,22.625,24.0
Tampa Bay Buccaneers,148.0,234.0,16.0,23.875,18.5,29.25
Los Angeles Chargers,126.0,146.0,16.0,17.0,15.75,18.25
New York Giants,209.0,179.0,16.0,24.25,26.125,22.375
Philadelphia Eagles,124.0,221.0,19.0,18.157894736842106,13.052631578947368,23.263157894736842
New York Jets,176.0,206.0,16.0,23.875,22.0,25.75
Arizona Cardinals,161.0,200.0,16.0,22.5625,20.125,25.0
Miami Dolphins,166.0,227.0,16.0,24.5625,20.75,28.375
